#,ingredient_name,serving_quantity,serving_unit,serving_weight_grams,sugar_mg,iron_mg,calcium_mg,sodium_mg,protein_mg,cholesterol_mg,potassium_mg,lactose_mg,vitamin_C_mg,saturated_fat_mg,trans_fat_mg,dietary_fiber_mg,calories_kcal,alcohol_mg,magnesium_mg,zinc_mg
1,honey,1,tbsp,21,17245.2,0.0882,1.26,0.84,63.0,0,10.92,0.0,0.105,0.0,0.0,42.0,63.84,0.0,0.42,0.0462
2,milk,1,cup,245,0.0,0.1225,313.6,127.4,8526.0,19.6,396.9,0.0,2.45,2927.8,0.0,0.0,124.95,0.0,34.3,0.98
