#,ingredient_name,serving_quantity,serving_unit,serving_weight_grams,sugar_mg,iron_mg,calcium_mg,sodium_mg,protein_mg,cholesterol_mg,potassium_mg,lactose_mg,vitamin_C_mg,saturated_fat_mg,trans_fat_mg,dietary_fiber_mg,calories_kcal,alcohol_mg,magnesium_mg,zinc_mg
1,chunk light tuna,1,cans,165,0,2.6895,28.05,407.55,32076,59.4,295.35,0,0,348.2,3.3,0,141.9,0,37.95,1.1385
2,beef strips,4,oz,114,0,2.1774,7.98,66.12,21295.2,75.24,348.84,0,0,7877.4,0,0,266.76,0,21.66,4.275
3,fava beans,1,cups,150,8550,10.05,154.5,19.5,39180,0,1593,0,2.1,381,0,37500,511.5,0,288,4.71
4,macadamia nuts,1,oz (10-12 kernels),28.35,1295.6,1.0461,24.0975,1.4175,2242.5,0,104.328,0,0.3402,3419.3,0,2438.1,203.553,0,36.855,0.3686
5,leafy greens,2,cups shredded,94,1118.6,0.9118,31.02,7.52,1156.2,0,232.18,0,3.76,36.7,0,1974,15.98,0,13.16,0.2162
6,sweetened coconut,1,cups,85,31237.5,1.2835,9.35,242.25,2660.5,0,306.85,0,0,22436.6,1.7,8415,387.6,0,43.35,0.6035
7,chicken drumettes,1,wingette or drummette,26.79,64.9,0.3109,5.3302,105.2761,4526.5,21.9538,45.8834,0,0.6994,2314.3,63.7,107.7,87.7383,0,4.0566,0.3193
8,baking chocolate,1,oz,28.35,258,4.9329,28.6335,6.804,4059.7,0.567,235.305,0,0,9150.5,0,4706.1,182.007,0,92.7045,2.7301
9,corn flakes cereal,1,cups,28,2660,8.092,1.4,204.12,2100,0,47.04,0,5.88,32.5,0,924,99.96,0,10.92,0.28
10,red cabbage,1,cups,89,3408.7,0.712,40.05,24.03,1272.7,0,216.27,0,50.73,18.7,0,1869,27.59,0,14.24,0.1958
11,bucatini,1,cups,91,2429.7,3.003,19.11,5.46,11866.4,0,202.93,0,0,252.1,0,2912,337.61,0,48.23,1.2831
12,sundried tomatoes packed in oil,1,pieces,3,0,0.0804,1.41,7.98,151.8,0,46.95,0,3.054,56.8,0,174,6.39,0,2.43,0.0234
13,gala apples,1,medium,172,17836.4,0.2064,12.04,1.72,430,0,185.76,0,0,0,0,3956,98.04,0,8.6,0.086
14,pineapple juice,1,cups,250,24950,0.775,32.5,5,900,0,325,0,109.5,20,0,500,132.5,0,30,0.275
15,fried onions,2,tbsp,12.6,589.7,0.0895,2.646,87.192,616.1,0,17.892,0,0,430.3,23.1,327.6,44.856,0,2.394,0.0643
16,shredded cheddar,0.25,cups,28.25,135.6,0.0396,200.575,184.4725,6460.8,27.9675,21.47,33.9,0,5329.9,259.1,0,114.13,0,7.6275,1.0283
17,egg roll wrappers,1,"wrapper, eggroll (7"" square)",32,0,1.0752,15.04,183.04,3136,2.88,26.24,0,0,84.2,0,576,93.12,0,6.4,0.2272
18,pancetta,1,oz,28.35,0,0.1474,1.4175,9.072,2647.9,20.412,52.4475,0,0.0851,5480.1,0,0,146.853,0,1.134,0.2892
19,daal,1,cups,214.26,4529.6,5.7971,43.78,431.3574,14251.4,0,713.1542,0,11.8382,610.7,0.2,12890.1,221.8778,0,64.9755,2.0865
20,unsweetened coconut,0.25,cups,21.25,1561.9,0.7055,5.525,7.8625,1462,0,115.3875,0,0.3188,12158.8,0,3463.8,140.25,0,19.125,0.4271
21,garlic clove,1,cloves,3,30,0.051,5.43,0.51,190.8,0,12.03,0,0.936,2.7,0,63,4.47,0,0.75,0.0348
22,crushed pineapple with juice,1,cups,249,35980.5,0.6972,34.86,2.49,1045.8,0,303.78,0,23.655,14.9,0,1992,149.4,0,34.86,0.249
23,mango powder,1,tsp,20,2732,0.032,2.2,0.2,164,0,33.6,0,7.28,18.4,0,320,12,0,2,0.018
24,bean chili,1,bowls,509.18,11420.4,6.3486,142.4601,1013.4312,16182.3,0,1395.0163,0,35.9633,653.9,0,18392.5,303.9587,0,125.6826,2.0518
25,fat free cheddar cheese,1,servings,28,0,0,250.04,280,8999.2,5.04,18.48,0,0,0,0,0,43.96,0,4.48,0.5096
26,gluten free spaghetti,1,cups,105,0,0.9765,4.2,3.15,7833,0,308.7,0,0,304.5,0,11550,374.85,0,124.95,1.8795
27,clam sauce,0.5,cups,120,636.6,2.6299,71.1824,669.5146,21969,59.0884,600.0777,0,1.723,4706.5,245.6,454.8,243.3789,0,31.9314,0.8273
28,quince,1,fruit without refuse,92,0,0.644,10.12,3.68,368,0,181.24,0,13.8,9.2,0,1748,52.44,0,7.36,0.0368
29,flaxseed meal,2,tbsp,13,201.5,0.7449,33.15,3.9,2377.7,0,105.69,0,0.078,476.2,0,3549,69.42,0,50.96,0.5642
30,potato flour,1,cups,160,5632,2.208,104,88,11040,0,1601.6,0,6.08,144,0,9440,571.2,0,104,0.864
31,diced potatoes,0.5,cups,75,615,0.6075,9,4.5,1537.5,0,318.75,0,14.775,18.8,0,1575,57.75,0,17.25,0.225
32,dried herbs,1,tsp,1.27,24.3,0.756,22.4929,0.5153,103.3,0,13.7786,0,0.4912,39.8,0,532.5,3.5785,0,3.5847,0.0512
33,fajita seasoning,2,tsp,5.7,617.3,0.4104,0,410.571,256.5,0,57,0,0,0,0,758.1,18.354,0,0,0
34,serrano pepper,1,pepper,6.1,233.6,0.0525,0.671,0.61,106.1,0,18.605,0,2.7389,3.6,0,225.7,1.952,0,1.342,0.0159
35,ranch dressing,2,tbsp,30,1407,0.09,8.4,270.3,396,7.8,19.2,405,0,2089.2,54.6,0,129,0,1.5,0.051
36,figs,1,"medium (2-1/4"" dia)",50,8130,0.185,17.5,0.5,375,0,116,0,1,30,0,1450,37,0,8.5,0.075
37,chocolate cake,1,pieces,109,43556.4,3.3136,32.7,379.32,3793.2,23.98,294.3,501.4,0.109,6449.5,1436.6,2398,424.01,0,33.79,0.6322
38,strawberry jam,1,tbsp,20,9700,0.098,4,6.4,74,0,15.4,0,1.76,2,0,220,55.6,0,0.8,0.012
39,miracle whip dressing,1,tbsp,16,1648,0.0192,0.96,126.08,32,1.44,7.84,0,0,96,0,304,13.44,0,0,0
40,caramels,1,pieces,10.1,6615.5,0.0141,13.938,24.745,464.6,0.707,21.614,0,0.0404,250.1,0,0,38.582,0,1.717,0.0444
41,shortbread cookies,1,cookie,11.8,2554.7,0.3516,1.534,41.654,633.7,0,10.384,0,0,956.4,84.3,153.4,60.652,0,1.652,0.0578
42,salted butter,1,tbsp,14.2,8.5,0.0028,3.408,91.306,120.7,30.53,3.408,0,0,7294.3,465.5,0,101.814,0,0.284,0.0128
43,broad beans,1,cups,150,8550,10.05,154.5,19.5,39180,0,1593,0,2.1,381,0,37500,511.5,0,288,4.71
44,smoked gouda,1,oz,28.35,629.4,0.068,198.45,232.1865,7070.5,32.319,34.3035,0,0,4993.6,0,0,100.926,0,8.2215,1.1057
45,cheerios cereal,1,cups,28,1220.8,9.2876,112.28,139.16,3385.2,0,179.48,0,6.048,420,5.6,2632,105.28,0,31.92,4.6844
46,deli turkey breast,2,oz,56.7,2268,1.2474,9.072,680.4,7654.5,31.185,197.883,0,5.67,66.9,0,226.8,63.504,0,11.34,1.1907
47,grape juice,1,cups,253,35926,0.6325,27.83,12.65,936.1,0,263.12,0,63.25,63.3,0,506,151.8,0,25.3,0.1771
48,chicken leg quarter,3,oz,85,0,0.5865,7.65,71.4,13914.5,79.05,172.55,0,0.17,3711.1,51,0,181.9,0,16.15,1.2495
49,brioche buns,1,bun,85,5901.2,0.8353,29.1211,315.3991,7119.2,114.5216,88.211,332.2,0.0022,7967,460,1151.4,287.1939,0,11.8349,0.6355
50,courgette,1,cups,124,3100,0.4588,19.84,9.92,1500.4,0,323.64,0,22.196,104.2,0,1240,21.08,0,22.32,0.3968
51,french onion soup,1,crock,350,6387,2.9699,424.6675,815.0366,21040.4,44.5516,491.9547,0,4.5306,10190.2,514.9,2316.5,478.3263,3551.4,51.114,2.779
52,butter pecan ice cream,1,cups,132,28010.4,0.1188,168.96,105.6,4620,58.08,262.68,0,0.792,8962.8,0,924,273.24,0,18.48,0.9108
53,cloves,1,tsp,2.1,50,0.2484,13.272,5.817,125.4,0,21.42,0,0.0042,83,5.3,711.9,5.754,0,5.439,0.0487
54,penne pasta,1,cups,91,2429.7,3.003,19.11,5.46,11866.4,0,202.93,0,0,252.1,0,2912,337.61,0,48.23,1.2831
55,almond,1,almond,1.29,62.7,0.0481,3.4572,6.4242,270.4,0,9.1977,0,0,52.8,0.1,140.6,7.7142,0,3.5991,0.0427
56,bacon,1,slices,28,280,0.1148,1.4,185.36,3533.6,18.48,55.44,0,0,3722.9,37.2,0,116.76,0,3.36,0.3304
57,matcha powder,1,tsp,2,0,0.0004,0,0.02,4.4,0,0.16,0,0.006,0,0,0,0.02,0,0.02,0.0002
58,millet,1,cups,174,226.2,1.0962,5.22,3.48,6107.4,0,107.88,0,0,299.3,0,2262,207.06,0,76.56,1.5834
59,salad mix,1,servings,85.05,1832.8,0.8576,37.422,31.3268,1234.6,0,241.4003,0,15.1673,28.1,0,1658.5,19.9868,0,19.9868,0.2197
60,boiled potatoes,1,"potato (2-1/2"" dia, sphere)",136,1237.6,0.4216,6.8,5.44,2543.2,0,515.44,0,17.68,35.4,0,2448,118.32,0,29.92,0.408
61,matcha green tea powder,1,tsp,2,0,0.0004,0,0.02,4.4,0,0.16,0,0.006,0,0,0,0.02,0,0.02,0.0002
62,pepper jelly,1,cups,333.03,179168.6,1.1833,12.7616,63.2263,919.5,0,186.4691,0,102.3862,38.4,0,4084.8,803.0432,0,11.0102,0.3709
63,chamomile tea,1,cups,237,0,0.1896,4.74,2.37,0,0,21.33,0,0,4.7,0,0,2.37,0,2.37,0.0948
64,walnut oil,1,tbsp,13.6,0,0,0,0,0,0,0,0,0,1237.6,0,0,120.224,0,0,0
65,dried shiitake mushrooms,1,mushroom,3.6,79.6,0.0619,0.396,0.468,344.9,0,55.224,0,0.126,8.1,0,414,10.656,0,4.752,0.2758
66,frozen broccoli,1,cups,156,2106,1.2636,87.36,37.44,4383.6,0,330.72,0,87.984,68.6,0,4680,40.56,0,28.08,0.7488
67,peach jam,1,tbsp,20,9700,0.098,4,6.4,74,0,15.4,0,1.76,2,0,220,55.6,0,0.8,0.012
68,oreo pie crust,1,crust,182,47884.2,7.826,58.24,915.46,11065.6,0,340.34,0,0,8599.5,0,4914,880.88,0,72.8,3.822
69,demi glace,1,cups,636.97,4028,3.1464,66.0422,1193.1817,12986,32.8,1193.4275,0,2.0146,8180.2,0,773,226.5905,0,48.8892,1.1765
70,white wine,1,servings,147,1411.2,0.3969,13.23,7.35,102.9,0,104.37,0,0,0,0,0,120.54,15141,14.7,0.1764
71,candied pecan,1,servings,71.01,21790.5,1.1841,34.9495,241.5084,4529.6,0,192.9264,2.3,0.5089,2804.2,0,4492.7,393.2014,0,55.4261,2.0632
72,grape tomato,1,grape tomato,7.9,207.8,0.0213,0.79,0.395,69.5,0,18.723,0,1.0823,2.2,0,94.8,1.422,0,0.869,0.0134
73,hersheys kisses,9,pieces,41,23000,1.44,80,35,3000,10,0,0,0,7000,0,1000,200,0,0,0
74,croutons,0.5,oz,14.2,626.2,0.4004,13.632,154.638,1533.6,0.994,25.702,0,0,745.1,0,710,66.03,0,5.964,0.1335
75,peas and carrots,0.5,cups,70,0,0.763,18.9,55.3,2380,0,135.8,0,7.84,58.8,0,2380,37.1,0,12.6,0.364
76,fresh fruit,1,cups,162.4,16454.3,0.5301,26.362,2.646,1355.5,0,364.168,0,72.244,68.3,0,3257.8,96.622,0,24.61,0.2026
77,butter crackers,1,cracker,3.3,268.6,0.1475,5.082,29.106,238.6,0,3.927,0,0,179.9,34.7,75.9,16.236,0,0.627,0.0201
78,yoplait,1,containers,170,31688,0.102,234.6,90.1,6766,8.5,300.9,0,1.02,1261.4,0,0,168.3,0,22.1,1.139
79,chili powder,1,tsp,2.7,194.1,0.4671,8.91,77.409,363.4,0,52.65,0,0.0189,66.5,0,939.6,7.614,0,4.023,0.1161
80,fat free ranch dressing,2,tbsp,28,1498,0.294,14,251.16,70,1.96,31.08,19.6,0,125.2,0,28,33.32,0,2.24,0.112
81,pancakes,1,"pancake (5"")",40,0,0.72,87.6,175.6,2560,23.6,52.8,0,0.12,848.8,0,0,90.8,0,6.4,0.224
82,herb,1,tbsp,2.75,76.1,0.8468,21.9942,3.4629,358.1,0,38.7194,0,1.9522,31.3,0,395.5,4.8316,0,5.6756,0.0868
83,chocolate sprinkles,1,tsp,4.02,2079.2,0.005,0.0368,0.0928,2.1,0,0.0657,0,0,84.4,29.3,7.2,21.1479,0,0.024,0.0007
84,corn cob,1,cups,145,9077,0.754,2.9,21.75,4741.5,0,391.5,0,9.86,471.3,0,2900,124.7,0,53.65,0.667
85,tabasco sauce,1,tsp,4.7,59.2,0.0226,0.376,124.221,24,0,6.768,0,3.5156,2.4,0,14.1,0.517,0,0.235,0.0052
86,celery sticks,1,cups,101,1353.4,0.202,40.4,80.8,696.9,0,262.6,0,3.131,42.4,0,1616,16.16,0,11.11,0.1313
87,fish cakes,1,cake,120,485.4,0.4321,14.1484,239.9719,12543.9,67.2836,347.7748,0,6.6235,1937.2,133.2,835.5,174.958,0,24.7673,0.4684
88,pate,2,tbsp,26,0,1.43,18.2,181.22,3692,66.3,35.88,0,0.52,2488.2,0,0,82.94,0,3.38,0.741
89,wagyu,4,oz,114,0,2.5536,4.56,72.96,23016.6,67.26,0,0,0,6278,529,0,217.74,0,0,0
90,quark,1,cups,245,7938,0.1715,269.5,88.2,24965.5,12.25,345.45,6223,0,286.7,14.7,0,144.55,0,26.95,1.274
91,mozzarella,1,oz,28.35,292,0.1247,143.1675,177.7545,6285.2,22.3965,21.546,19.9,0,3728.6,0,0,85.05,0,5.67,0.8278
92,mini bell peppers,1,mini pepper,27.9,1171.8,0.12,1.953,1.116,276.2,0,58.869,0,35.6283,7.5,0,585.9,8.649,0,3.348,0.0698
93,seasoned salt,0.25,tsp,1.2,7.8,0.1146,3.5859,379.924,24.8,0,3.4529,0,0.0859,6.6,0,84.9,0.6173,0,0.7375,0.01
94,watermelons,1,wedges,286,17732,0.6864,20.02,2.86,1744.6,0,320.32,0,23.166,45.8,0,1144,85.8,0,28.6,0.286
95,black grapes,1,grape,6,0,0.0156,2.22,0.06,48.6,0,12.18,0,0.39,0,0,234,3.42,0,0.84,0.0066
96,jams,1,tbsp,20,9700,0.098,4,6.4,74,0,15.4,0,1.76,2,0,220,55.6,0,0.8,0.012
97,pale ale beer,1,cans,356,0,0.0712,14.24,14.24,1637.6,0,96.12,0,0,0,0,0,153.08,13884,21.36,0.0356
98,stevia,0.75,tsp,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,minute rice,1,cups,165,0,2.9205,13.2,6.6,3597,0,14.85,0,0,28.1,0,990,204.6,0,8.25,0.8085
100,tomato paste,1,tbsp,16,1948.8,0.4768,5.76,9.44,691.2,0,162.24,0,3.504,16,0,656,13.12,0,6.72,0.1008
101,smoked haddock,1,"oz, boneless",28.35,0,0.3969,13.8915,216.3105,7152.7,21.8295,117.6525,0,0,49.1,0,0,32.886,0,15.309,0.1418
102,snow pea,1,cups,98,3920,2.0384,42.14,3.92,2744,0,196,0,58.8,38.2,0,2548,41.16,0,23.52,0.2646
103,vegetable oil,1,tbsp,13.6,0,0.0027,0,0,0,0,0,0,0,1010.3,350.5,0,120.224,0,0,0
104,light margarine,1,tbsp,14.9,0,0.003,0.894,87.761,76,0,5.066,0,0.0149,1286.9,202.5,0,50.511,0,0.149,0.003
105,bean paste,1,cups,320,101203.5,3.4551,130.458,525.8667,18134.3,0,631.3275,0,0.4545,411.3,0,12498.6,640.742,0,68.1739,1.7136
106,popcorn chicken,1,pieces,6.4,0,0.0909,2.048,72.96,1130.9,2.56,18.432,0,0,253.1,10.1,64,22.464,0,1.792,0.0627
107,kale chips,1,servings,19.93,376.7,0.261,25.2658,399.3496,713.3,0,81.937,0,20,325.9,0,600,28.0567,0,7.8435,0.0944
108,lorna doone cookies,1,cookie,6.88,1488.4,0.2049,0.8938,24.2688,369.2,0,6.05,0,0,557.2,49.1,89.4,35.3375,0,0.9625,0.0337
109,honey nut cheerios,1,cups,37.33,12277.8,7.6825,158.6525,211.2878,3303.7,0,153.7996,0,7.9886,197.5,1.5,2650.4,140.3608,0,33.597,6.4096
110,meats,1,oz,28.34,4,0.3599,3.9111,19.6097,5360.2,20.9144,71.8727,0,0.1643,1511.1,29.8,0,59.6858,0,6.008,0.7023
111,turkey salami,1,slices,28,313.6,0.35,11.2,309.96,5376,21.28,60.48,0,0,779.2,0,28,48.16,0,6.16,0.6496
112,pork neck bones,1,neck bone,47,0,0.3008,3.29,21.62,12431.5,37.6,164.03,0,0,1334.3,37.1,0,90.24,0,11.75,0.9917
113,skinless chicken breasts,1,breast,189,0,0.6993,9.45,85.05,42525,137.97,631.26,0,0,1064.1,13.2,0,226.8,0,52.92,1.2852
114,pound cake,1,pieces,61,20349.6,0.9028,28.67,229.97,3050,40.26,90.89,774.7,0,2934.7,117.1,366,215.33,0,4.88,0.2623
115,sweet red wine,1,floz,103,8013.4,0.2472,8.24,9.27,206,0,94.76,0,0,0,0,0,164.8,15759,9.27,0.0721
116,brown rice,1,cups,190,0,3.42,62.7,7.6,14250,0,509.2,0,0,1018.4,0,6460,687.8,0,271.7,3.838
117,ciabatta,1,slices,31,1757.7,1.1191,44.64,151.9,2743.5,0,39.06,0,0,216.4,8.4,837,82.46,0,7.13,0.2294
118,minneola tangelo,1,medium,95,5819,0.1145,24.75,1.5,645.5,0,150.1,0,29.925,27.1,0,990,43.95,0,10.2,0.0665
119,ancho chile pepper,1,pepper,17,0,1.8581,10.37,7.31,2016.2,0,409.87,0,0.34,139.4,0,3672,47.77,0,19.21,0.2414
120,dried beef,1,oz,28.35,765.5,0.6861,2.268,790.965,8816.9,22.3965,66.6225,0,0,269.3,0,0,43.3755,0,5.3865,1.3977
121,grahams,1,cracker,15,3727.5,0.567,11.55,68.85,1003.5,0,25.5,0,0,245,8.3,510,64.5,0,6,0.144
122,chervil,1,tsp,0.6,0,0.1917,8.076,0.498,139.2,0,28.44,0,0.3,1,0,67.8,1.422,0,0.78,0.0528
123,cheese blend,0.25,cups,28,344.4,0.1652,184.52,94.64,6591.2,26.6,23.8,22.4,0,4767.6,0,0,100.24,0,7,0.8428
124,creme fraiche,1,oz,28,665.6,0.022,17.36,44.68,659.8,35.6,23.54,662,0.144,7633.4,451,0,112.14,0,1.78,0.0618
125,pork butt,3,oz,85,0,0.952,13.6,51.85,14807,52.7,270.3,0,0,3695.8,97.8,0,158.1,0,17,2.6265
126,orange liqueur,1,shots,49.5,10479,0.0209,0.105,0.495,0,0,0.99,0,0,0,0,0,130.725,13026,0,0.0167
127,whey protein powder,1,scoops,32,0,0.3616,150.08,49.92,25001.6,5.12,160,0,0,249.9,0,992,112.64,0,62.4,1.9776
128,dried black eyed peas,1,cups,167,11523,13.8109,183.7,26.72,39278.4,0,1857.04,0,2.505,552.8,0,17702,561.12,0,307.28,5.6279
129,jack daniels whiskey,1,shots,42,42,0.0084,0,0,0,0,0.42,0,0,0,0,0,105,15120,0,0.0084
130,pecan,1,nut,1.49,59.2,0.0377,1.043,0,136.6,0,6.109,0,0.0164,92.1,0,143,10.2959,0,1.8029,0.0675
131,red grape,10,grapes,49,7585.2,0.1764,4.9,0.98,352.8,0,93.59,0,1.568,26.5,0,441,33.81,0,3.43,0.0343
132,spring rolls,1,roll,64.47,881.7,1.2426,19.4155,269.913,3749.7,11.6148,68.6821,0,6.4523,559.4,118.1,871.9,148.3039,0,9.5494,0.3586
133,cocoa puffs,1,cups,36,13392,6.012,133.2,203.04,2016,0,97.92,0,7.992,360,0,2052,137.88,0,21.24,5.004
134,white bread,1,slices,36.8,2086.6,1.3285,52.992,180.32,3256.8,0,46.368,0,0,256.9,9.9,993.6,97.888,0,8.464,0.2723
135,yellow squash,1,cups,113,2486,0.3955,16.95,2.26,1367.3,0,296.06,0,19.21,49.7,0,1243,18.08,0,19.21,0.3277
136,cannellini beans,1,cups,202,4262.2,21.0888,484.8,32.32,47187.2,0,3625.9,0,0,442.4,0,30704,672.66,0,383.8,7.4134
137,salad oil,1,tbsp,13.5,0,0.0756,0.135,0.27,0,0,0.135,0,0,1864.1,0,0,119.34,0,0,0
138,dried shaved bonito flakes,0.33,cups,3.5,0,0.0875,5.6,245.945,2198.7,5.32,51.03,0,0.1225,16.2,0,0,10.15,0,4.655,0.0557
139,rice cereal,1,cups,29,2862.3,8.8218,1.45,152.83,1957.5,0,36.25,0,18.357,132.8,0.9,116,110.49,0,7.83,0.4031
140,sticky rice,1,cups,200,0,1.6,6,2,13000,0,152,0,0,280,0,0,716,0,46,2.2
141,hot chocolate mix,3,tsp,28,18354,0.3332,37.24,141.12,1867.6,0,199.36,0,0.056,665.6,0,1036,111.44,0,23.24,0.4088
142,butter cookies,1,oz,30,6072,0.666,8.7,84.6,1830,35.1,33.3,0,0,3315.3,0,240,140.1,0,3.6,0.114
143,green pea,1,cups,160,9488,2.464,43.2,4.8,8576,0,433.6,0,22.72,62.4,0,8800,134.4,0,62.4,1.904
144,rice cake,1,cake,9,80.1,0.1341,0.99,29.34,738,0,26.1,0,0,51.3,0,378,34.83,0,11.79,0.27
145,crackers,1,cracker,4,327.2,0.1612,4.8,29.04,265.6,0,4.72,0,0,222.5,43,92,20.4,0,0.72,0.0196
146,fat free greek yogurt,1,oz,28.35,3195.1,0.0255,27.4995,9.3555,2282.2,1.134,37.422,700.3,0.0851,29.8,0.3,170.1,23.247,0,2.835,0.1276
147,thick cut bacon,1,slices,12,0,0.114,1.32,202.08,4070.4,11.88,59.88,0,0,1435.7,17.3,0,56.16,0,3.72,0.3672
148,grated cheese,0.25,cups,28.25,135.6,0.0396,200.575,184.4725,6460.8,27.9675,21.47,33.9,0,5329.9,259.1,0,114.13,0,7.6275,1.0283
149,thousand island dressing,1,servings,30,4554,0.354,5.1,288.6,327,7.8,32.1,0,0,1527.6,0,240,113.7,0,2.4,0.078
150,melons,1,cups,177,13912.2,0.3717,15.93,28.32,1486.8,0,472.59,0,64.959,90.3,0,1593,60.18,0,21.24,0.3186
151,sweet n low,1,servings,1,851.9,0.0004,0,4.28,9.4,0,0.04,0,0,0,0,0,3.6,0,0,0.0001
152,chayote,1,cups,160,3024,0.352,20.8,1.6,992,0,276.8,0,12.8,0,0,4480,38.4,0,19.2,0.496
153,salted almonds,1,almond,1.29,62.7,0.0481,3.4572,6.4242,270.4,0,9.1977,0,0,52.8,0.1,140.6,7.7142,0,3.5991,0.0427
154,pillsbury biscuits,1,biscuit,58,4292,1.4384,29.58,566.66,3862.8,0.58,93.96,0,0.058,1627.5,1997.5,406,178.06,0,9.86,0.29
155,pork tenderloin,3,oz,85,0,0.8245,5.1,44.2,17552.5,55.25,334.05,0,0,1003.9,30.6,0,102,0,22.95,1.5895
156,butter beans,1,cups,178,15130,13.3678,144.18,32.04,38198.8,0,3068.72,0,0,286.6,0,33820,601.64,0,398.72,5.0374
157,honey,1,tbsp,21,17245.2,0.0882,1.26,0.84,63,0,10.92,0,0.105,0,0,42,63.84,0,0.42,0.0462
158,tilapia fillets,1,fillet,116,0,0.6496,11.6,60.32,23292.8,58,350.32,0,0,678.6,0,0,111.36,0,31.32,0.3828
159,green beans,1,cups,100,3260,1.03,37,6,1830,0,211,0,12.2,50,0,2700,31,0,25,0.24
160,veggies,1,cups,140.05,3659.9,0.6956,45.95,43.4565,2384.1,0,295.095,0,43.4721,84.2,0,4164,45.2975,0,20.485,0.3839
161,cotija,2,tsp,5,0,0,40,70,1000,5,6.25,0,0,875,0,0,18.3,0,1.9,0.1935
162,chocolate candy,1,pieces,7,3605,0.1645,13.23,5.53,535.5,1.61,26.04,0,0,1295.6,0,238,37.45,0,4.41,0.161
163,sambal oelek,1,tsp,4.96,119.8,0.0243,0.485,101.9448,42.3,0,26.5059,0,1.4088,3.8,0,32.9,0.9862,0,0.5661,0.0073
164,chicken feet,1,foot,34,0,0.3094,29.92,22.78,6596,28.56,10.54,0,0,1332.8,0,0,73.1,0,1.7,0.2346
165,suet,1,oz,28.35,0,0.0482,0.567,1.9845,425.3,19.278,4.536,0,0,14827.1,0,0,242.109,0,0.2835,0.0624
166,chicken tenderloins,1,tenderloin,67.14,0,0.2484,3.357,30.213,15106.5,49.0122,224.2476,0,0,378,4.7,0,80.568,0,18.7992,0.4566
167,t bone steak,3,oz,85,0,1.394,17.85,34,17093.5,52.7,197.2,0,0,5520.8,767.6,0,189.55,0,8.5,2.822
168,pickle juice,1,floz,31,5702,0.0448,2.5742,876.9196,66.8,0,5.6311,0,0.5878,5.4,0,70.5,24.8246,0,1.1329,0.0164
169,salt pork,1,"oz raw, yield after cooking",20,0,0.088,1.2,536.8,1010,17.2,13.2,0,0,5876,0,0,149.6,0,1.4,0.18
170,nuts,1,oz,28.35,1176.5,0.7399,33.1695,77.3955,5681.3,0,179.172,0,0.1418,2469.6,15.6,1984.5,172.0845,0,64.9215,0.9526
171,fondant,1,oz,28.35,25203.2,0.0028,0.8505,3.1185,0,0,1.134,0,0,0,0,0,105.7455,0,0,0.0113
172,sweetened shredded coconut,1,cups,85,31237.5,1.2835,9.35,242.25,2660.5,0,306.85,0,0,22436.6,1.7,8415,387.6,0,43.35,0.6035
173,blue cheese dressing,1,tbsp,15,522,0.0135,5.55,96.3,205.5,4.65,13.2,0,0.105,1241.3,201,60,72.6,0,1.2,0.0315
174,freeze dried raspberries,1,oz,210,9282,1.449,52.5,2.1,2520,0,317.1,0,55.02,39.9,0,13650,109.2,0,46.2,0.882
175,edamame beans,1,cups,118,2926.4,2.4898,70.8,7.08,13239.6,0,568.76,0,11.446,0,0,5664,128.62,0,71.98,1.5576
176,piecrust,1,pie crust,154,6514.2,4.312,32.34,719.18,10010,0,175.56,0,0,14286.6,0,5082,782.32,0,26.18,0.7854
177,nonfat dry milk,1,cups,68,35489.2,0.2108,837.08,373.32,23868,12.24,1159.4,0,3.808,317.6,0,0,243.44,0,79.56,2.9988
178,fudge,1,pieces,17,12430.4,0.3009,8.33,7.65,406.3,2.38,22.78,0,0,1096.2,28.1,289,69.87,0,6.12,0.1887
179,ginger ale,1,floz,366,32574,0.6588,10.98,25.62,0,0,3.66,0,0,0,0,0,124.44,0,3.66,0.183
180,cassava root flour,1,cups,285,4845,0.7695,45.6,39.9,3876,0,772.35,0,58.71,210.9,0,5130,456,0,59.85,0.969
181,pizza,1,slices,107,3830.6,2.6536,201.16,639.86,12187.3,18.19,184.04,449.4,1.498,4777.6,257.9,2461,284.62,0,25.68,1.4338
182,balsamic vinaigrette,2,tbsp,29.4,3166.4,0.0764,3.822,291.942,120.5,0,24.696,0,0.1176,866.7,19.7,0,70.56,0,1.47,0.0206
183,creme de cassis,1.5,floz,46.35,15352.6,0.0165,0.4235,0.7332,0,0,0.7472,0,0,0,0,0,110.299,7340.1,0.0899,0.0112
184,canned corn,1,cans,263.65,11706.1,0.7119,7.9095,540.4825,6037.6,0,348.018,0,4.7457,645.9,0,5273,176.6455,0,34.2745,0.8437
185,cashew milk,1,cups,247,7210.5,0.2185,16.3011,2.47,1091.5,0,37.9691,0,0,196.2,0.8,645.1,56.9714,0,16.2827,0.1617
186,hemp hearts,3,tbsp,30,450,2.385,21,1.5,9468,0,360,21,0.15,1380,0,1200,165.9,0,210,2.97
187,raspberry vinaigrette,1,tbsp,15.04,634.1,0.05,1.7137,0.7876,72.7,0,11.3091,0,1.9855,336.4,17.9,343.3,45.1639,0,1.4304,0.0238
188,roasted pistachios,1,kernel,0.7,54.2,0.0282,0.749,2.996,147.4,0,7.049,0,0.021,39.5,0,72.1,3.983,0,0.763,0.0164
