#,cocktail_id,cocktail_name,is_alcoholic,serving_glass,cocktail_picture,cocktail_details,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line
116,17200,Grasshopper,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,creme de menthe,0.4251,3/4 oz green creme de menthe,creme de cacao,0.578367347,3/4 oz white creme de cacao,light cream,0.7085,3/4 oz light cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,14642,Grim Reaper,Alcoholic,Old-fashioned glass,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,kahlua,0.814367816,1 oz kahlua,rum,0.674761905,1 oz bacardi 151 proof rum,grenadine,1,1 dash grenadine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,12762,Grizzly Bear,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,"Served over ice. Sounds nasty, but tastes great.",amaretto liqueur,1,1 part amaretto,jager,1,1 part jagermeister,kahlua,1,1 part kahlua,milk,2.5,2 1/2 parts milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,12766,Happy Skipper,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",spiced rum,0.0052825,1 1/2 cl spiced rum,ginger ale,1,ginger ale,lime,1,lime,ice,1,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,11470,Havana Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",rum,0.674761905,1 oz light rum,pineapple juice,0.11336,1 oz pineapple juice,lemon juice,1,1 tsp lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,11472,Hawaiian Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",gin,1.34952381,2 oz gin,triple sec,0.38401084,1/2 oz triple sec,pineapple juice,0.06252,1 tblsp pineapple juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,17201,Hemingway Special,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Pour all ingredients into a shaker with ice. Shake.,rum,12,12 parts rum,grapefruit juice,8,8 parts grapefruit juice,liqueur,3,3 parts maraschino liqueur,lime juice,3,3 parts lime juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,11476,Highland Fling Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,scotch,1.012142857,1 1/2 oz scotch,vermouth,0.720508475,3/4 oz sweet vermouth,bitters,2,2 dashes orange bitters,olive,1,1 olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,17202,Horse's Neck,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",lemon peel,1,1 long strip lemon peel,brandy,1.34952381,2 oz brandy,ginger ale,0.38715847,5 oz ginger ale,bitters,2,2 dashes bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,13539,Ice Pick #1,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,vodka,1.012142857,1 1/2 oz vodka,tea,0.955280899,6 oz iced tea,lemon juice,1,to taste lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,11524,Imperial Fizz,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",rum,0.337380952,1/2 oz light rum,whiskey,1.012142857,1 1/2 oz blended whiskey,lemon,0.5,juice of 1/2 lemon,powdered sugar,0.020833333,1 tsp powdered sugar,water,1,carbonated water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,17176,Ipamena,Non Alcoholic,Wine Glass,https://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",lime,12,12 lime,brown sugar,0.036223681,2 tsp brown sugar,passion fruit juice,0.002643389,4 cl passion fruit juice,ginger ale,1,top up with ginger ale,ice,1,fill ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,11528,Irish Spring,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",whiskey,0.674761905,1 oz irish whiskey,brandy,0.337380952,1/2 oz peach brandy,orange juice,0.113815261,1 oz orange juice,sweet and sour sauce,0.809714286,1 oz sweet and sour,orange,1,1 slice orange,cherry,1,1 cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,11542,Jack Rose Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",apple,0.233571429,1 1/2 oz apple brandy,grenadine,0.335,1 tsp grenadine,lime,0.5,juice of 1/2 lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,13847,Jackhammer,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,"Serve over ice- Warning,Deadly!",jack daniels,0.674761905,1 oz jack daniels,amaretto liqueur,0.814367816,1 oz amaretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,11558,Japanese Fizz,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",whiskey,1.012142857,1 1/2 oz blended whiskey,lemon,0.5,juice of 1/2 lemon,powdered sugar,0.020833333,1 tsp powdered sugar,port,0.506896552,1 tblsp port,egg white,1,1 egg white,water,1,carbonated water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,11566,Jewel Of The Nile,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",gin,1.012142857,1 1/2 oz gin,chartreuse,0.337380952,1/2 oz green chartreuse,chartreuse,0.337380952,1/2 oz yellow chartreuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,11580,John Collins,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,bourbon,1.34952381,2 oz bourbon,lemon juice,5.668,1 oz lemon juice,sugar,1,1 tsp superfine sugar,club soda,0.358734177,3 oz club soda,maraschino cherry,1,1 maraschino cherry,orange,1,1 orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,11600,Kamikaze,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",vodka,0.674761905,1 oz vodka,triple sec,0.76802168,1 oz triple sec,lime juice,0.644090909,1 oz lime juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,12764,Karsk,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",coffee,1,1 part coffee,alcohol,2,2 parts grain alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,17203,Kir,Alcoholic,Wine Glass,https://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,"Add the creme de cassis to the bottom of the glass, then top up with wine.",creme de cassis,1,1 part creme de cassis,champagne,5,5 parts champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,13837,Kir Royale,Alcoholic,Champagne Flute,https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,"Pour Creme de cassis in glass, gently pour champagne on top",creme de cassis,1,1 part creme de cassis,champagne,5,5 parts champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,14752,Kiwi Lemon,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Mix in highball glass. Stirr. Garnish with slice of kiwi.,liqueur,1,1 part kiwi liqueur,bitters,2,2 parts bitter lemon,ice,1,cubes ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,11634,Lady Love Fizz,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",gin,1.34952381,2 oz gin,light cream,0.333333333,2 tsp light cream,powdered sugar,0.020833333,1 tsp powdered sugar,lemon,0.5,juice of 1/2 lemon,egg white,1,1 egg white,water,1,carbonated water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,11658,Loch Lomond,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",scotch,1.34952381,2 oz scotch,drambuie,0.337380952,1/2 oz drambuie,dry vermouth,0.480338983,1/2 oz dry vermouth,lemon peel,1,1 twist of lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,11662,London Town,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",gin,1.012142857,1 1/2 oz gin,liqueur,0.286262626,1/2 oz maraschino liqueur,bitters,2,2 dashes orange bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,11664,Lone Tree Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,"Stir ingredients with ice, strain into a cocktail glass, and serve.",vermouth,0.720508475,3/4 oz sweet vermouth,gin,1.012142857,1 1/2 oz gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,11666,Lone Tree Cooler,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",water,1,carbonated water,gin,1,gin,dry vermouth,1,dry vermouth,powdered sugar,1,powdered sugar,orange,1,orange spiral,lemon peel,1,lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,17204,Long Island Iced Tea,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,vodka,0.337380952,1/2 oz vodka,tequila,0.337380952,1/2 oz tequila,rum,0.337380952,1/2 oz light rum,gin,0.337380952,1/2 oz gin,coca cola,1,1 dash coca cola,lemon peel,1,twist of lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,11668,Long Island Tea,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,vodka,0.337380952,1/2 oz vodka,rum,0.337380952,1/2 oz light rum,gin,0.337380952,1/2 oz gin,tequila,0.337380952,1/2 oz tequila,lemon,0.5,juice of 1/2 lemon,coca cola,1,1 splash coca cola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,13196,Long vodka,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",vodka,0.017608333,5 cl vodka,lime,0.5,1/2 lime,bitters,4,4 dashes angostura bitters,water,7.535475105,1 dl schweppes tonic water,ice,4,4 ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,11670,Lord And Lady,Alcoholic,Old-fashioned glass,https://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,rum,1.012142857,1 1/2 oz dark rum,tia maria,0.2725,1/2 oz tia maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,11690,Mai Tai,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,rum,0.674761905,1 oz light rum,syrup,0.170722892,1/2 oz orgeat syrup,triple sec,0.38401084,1/2 oz triple sec,sweet and sour sauce,1.214571429,1 1/2 oz sweet and sour,cherry,1,1 cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,13060,Margarita,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/wpxpvu1439905379.jpg,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",tequila,1.012142857,1 1/2 oz tequila,triple sec,0.38401084,1/2 oz triple sec,lime juice,0.644090909,1 oz lime juice,salt,1,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,11766,Midnight Cowboy,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/vsxxwy1441208133.jpg,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",bourbon,1.34952381,2 oz bourbon,rum,0.674761905,1 oz dark rum,heavy cream,0.475503356,1/2 oz heavy cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,13825,Midnight Manx,Alcoholic,Old-fashioned glass,https://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",kahlua,0.814367816,1 oz kahlua,baileys,1,1 oz bailey's irish cream,schnapps,1,dash goldschlager,heavy cream,1.902013423,2 oz heavy cream,coffee,0.239156118,2 oz hazlenut coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,17205,Mimosa,Alcoholic,Champagne flute,https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",champagne,1,chilled champagne,orange juice,0.227630522,2 oz orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,17206,Mint Julep,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/squyyq1439907312.jpg,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",fresh mint,4,4 fresh mint,bourbon,1.686904762,2 1/2 oz bourbon,powdered sugar,0.020833333,1 tsp powdered sugar,water,0.041603376,2 tsp water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,11786,Mississippi Planters Punch,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",brandy,0.674761905,1 oz brandy,rum,0.337380952,1/2 oz light rum,bourbon,0.337380952,1/2 oz bourbon,lemon,0.5,juice of 1/2 lemon,powdered sugar,0.066666667,1 tblsp powdered sugar,water,1,carbonated water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,11798,Monkey Wrench,Alcoholic,Old-fashioned glass,https://www.thecocktaildb.com/images/media/drink/8it05n1504353314.jpg,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,rum,1.012142857,1 1/2 oz light rum,grapefruit juice,0.344210526,3 oz grapefruit juice,bitters,1,1 dash bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,15549,Negroni,Alcoholic,Old-fashioned glass,https://www.thecocktaildb.com/images/media/drink/tutwwv1439907127.jpg,"Stir into glass over ice, garnish and serve.",gin,0.674761905,1 oz gin,campari,0.649255441,1 oz campari,vermouth,0.960677966,1 oz sweet vermouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,11844,New York Sour,Alcoholic,Whiskey sour glass,https://www.thecocktaildb.com/images/media/drink/61wgch1504882795.jpg,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",whiskey,1.34952381,2 oz blended whiskey,lemon,0.5,juice of 1/2 lemon,sugar,1,1 tsp sugar,red wine,1,(claret) red wine,lemon,1,lemon,cherry,1,cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,11870,Orange Oasis,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/xqqytq1441167923.jpg,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",cherry,1.72804878,1/2 oz cherry brandy,gin,1.012142857,1 1/2 oz gin,orange juice,0.455261044,4 oz orange juice,ginger ale,1,ginger ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,14586,Orange Push-up,Alcoholic,Hurricane glass,https://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,spiced rum,1.012142857,1.5 oz spiced rum,grenadine,0.7085,0.5 oz grenadine,orange juice,0.455261044,4 oz orange juice,sour mix,1,1 splash sour mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,13499,Oreo Mudslide,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",vodka,0.674761905,1 oz vodka,kahlua,0.814367816,1 oz kahlua,baileys,1,1 oz bailey's irish cream,vanilla ice cream,1,2 scoops vanilla ice cream,oreo cookie,1,1 oreo cookie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,11872,Orgasm,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",creme de cacao,0.385578231,1/2 oz white creme de cacao,amaretto liqueur,0.407183908,1/2 oz amaretto,triple sec,0.38401084,1/2 oz triple sec,vodka,0.337380952,1/2 oz vodka,light cream,0.944666667,1 oz light cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,13200,Owen's Grandmother's Revenge,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg,Add ingredients and mix in blender.,whiskey,8.097142857,12 oz whiskey,beer,0.955280899,12 oz beer,lemonade,1.376842105,12 oz frozen lemonade,ice,1,1 cup crushed ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,17190,Paradise,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg,Shake together over ice. Strain into cocktail glass and serve chilled.,gin,7,7 parts gin,apricot,4,4 parts apricot brandy,orange juice,3,3 parts orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,17207,Pina Colada,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",rum,2.024285714,3 oz light rum,coconut milk,0.199115044,3 tblsp coconut milk,pineapple,0.375,3 tblsp pineapple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,11936,Pink Gin,Alcoholic,White wine glass,https://www.thecocktaildb.com/images/media/drink/qyr51e1504888618.jpg,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",bitters,3,3 dashes bitters,gin,1.34952381,2 oz gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,11938,Pink Lady,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",gin,1.012142857,1 1/2 oz gin,grenadine,0.335,1 tsp grenadine,light cream,0.166666667,1 tsp light cream,egg white,1,1 egg white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,13072,Popped cherry,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,vodka,1.34952381,2 oz vodka,liqueur,1.145050505,2 oz cherry liqueur,cranberry juice,0.5668,4 oz cranberry juice,orange juice,0.455261044,4 oz orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,11959,Poppy Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/cslw1w1504389915.jpg,"Shake ingredients with ice, strain into a cocktail glass, and serve.",gin,1.012142857,1 1/2 oz gin,creme de cacao,0.578367347,3/4 oz white creme de cacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,11961,Port And Starboard,Alcoholic,Pousse cafe glass,https://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",grenadine,1,1 tblsp grenadine,creme de menthe,0.2834,1/2 oz green creme de menthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,11963,Port Wine Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg,"Stir ingredients with ice, strain into a cocktail glass, and serve.",port,2.443103448,2 1/2 oz port,brandy,0.000861717,1/2 tsp brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,11965,Port Wine Flip,Alcoholic,Whiskey sour glass,https://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,port,1.465862069,1 1/2 oz port,light cream,0.333333333,2 tsp light cream,powdered sugar,0.020833333,1 tsp powdered sugar,egg,1,1 whole egg,nutmeg,1,nutmeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,17192,Porto flip,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",brandy,3,3 parts brandy,port,9,9 parts port,egg yolk,2,2 parts egg yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,15092,Pysch Vitamin Light,Non alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,Shake with ice.,orange juice,1,1 part orange juice,apple juice,1,1 part apple juice,pineapple juice,1,1 part pineapple juice,ice,1,ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,11983,Quaker's Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",rum,0.506071429,3/4 oz light rum,brandy,0.506071429,3/4 oz brandy,lemon,0.25,juice of 1/4 lemon,raspberry,2.56209,2 tsp raspberry syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
