#,cocktail_id,cocktail_name,is_alcoholic,serving_glass,cocktail_picture,cocktail_details,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line
12,11006,Adam,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",rum,1.34952381,2 oz dark rum,lemon juice,5.668,1 oz lemon juice,grenadine,0.335,1 tsp grenadine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15567,Adam Sunrise,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",vodka,0.5,1/2 vodka,lemonade,0.5,1/2 can lemonade,water,0.5,1/2 water,sugar,10,10 tsp sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11007,Adonis Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",vermouth,0.720508475,3/4 oz sweet vermouth,sherry,1.465862069,1 1/2 oz dry sherry,bitters,1,1 dash orange bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11008,Affair,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",strawberry,0.629777778,2 oz strawberry schnapps,orange juice,0.227630522,2 oz orange juice,cranberry juice,0.2834,2 oz cranberry juice,club soda,1,club soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11009,Affinity,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",scotch,1.012142857,1 1/2 oz scotch,vermouth,0.960677966,1 oz sweet vermouth,dry vermouth,0.960677966,1 oz dry vermouth,bitters,2,2 dashes orange bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11010,After Dinner Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,apricot,0.809714286,1 oz apricot brandy,triple sec,0.76802168,1 oz triple sec,lime,1,juice of 1 lime,lime,1,1 lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11011,After Supper Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",triple sec,0.76802168,1 oz triple sec,apricot,0.809714286,1 oz apricot brandy,lemon juice,0.5,1/2 tsp lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11012,Alabama Slammer,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",southern comfort,0.674761905,1 oz southern comfort,amaretto liqueur,0.814367816,1 oz amaretto,gin,0.337380952,1/2 oz sloe gin,lemon juice,1,1 dash lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11013,Alaska Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",bitters,2,2 dashes orange bitters,gin,1.012142857,1 1/2 oz gin,chartreuse,0.506071429,3/4 oz yellow chartreuse,lemon peel,1,twist of lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,11014,Alexander,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,gin,0.337380952,1/2 oz gin,creme de cacao,0.385578231,1/2 oz white creme de cacao,light cream,1.889333333,2 oz light cream,nutmeg,1,nutmeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
